Pattern,Top_5_Groups
Pattern_0,"revshare_group__FROZEN YOGHURT, revshare_group__MIXED COLD BEVERAGES, revshare_group__MIXED HOT BEVERAGE, revshare_group__BLENDED BRINKS, revshare_group__ADD SYRUP"
Pattern_1,"revshare_group__MIXED HOT BEVERAGE, revshare_group__FROZEN YOGHURT, revshare_group__BLACK COFFEE, revshare_group__MIXED COLD BEVERAGES, revshare_group__BLENDED BRINKS"
Pattern_2,"revshare_group__BLENDED BRINKS, revshare_group__MIXED COLD BEVERAGES, revshare_group__COFFEE PASTRY, revshare_group__FROZEN YOGHURT, revshare_group__FRENCH PASTRY"
Pattern_3,"revshare_group__FROZEN YOGHURT, revshare_group__SUB SANDWICHES, revshare_group__SOFT DRINKS, revshare_group__MIXED COLD BEVERAGES, revshare_group__BLENDED BRINKS"
Pattern_4,"revshare_group__MIXED COLD BEVERAGES, revshare_group__SOFT DRINKS, revshare_group__MIXED HOT BEVERAGE, revshare_group__CINNAMONS, revshare_group__BLACK COFFEE"
Pattern_5,"revshare_group__BLACK COFFEE, revshare_group__MIXED COLD BEVERAGES, revshare_group__FROZEN YOGHURT, revshare_group__MIXED HOT BEVERAGE, revshare_group__CROISSANT"
Pattern_6,"revshare_group__MIXED HOT BEVERAGE, revshare_group__CINNAMONS, revshare_group__COFFEE PASTRY, revshare_group__CROISSANT, revshare_group__FRENCH PASTRY"
Pattern_7,"revshare_group__SUB SANDWICHES, revshare_group__SALADS BAR, revshare_group__BLACK COFFEE, revshare_group__MIXED HOT BEVERAGE, revshare_group__COFFEE PASTRY"
Pattern_8,"revshare_group__FROZEN YOGHURT, revshare_group__SOFT DRINKS, revshare_group__MIXED COLD BEVERAGES, revshare_group__CINNAMONS, revshare_group__BLENDED BRINKS"
Pattern_9,"revshare_group__MIXED HOT BEVERAGE, revshare_group__BLACK COFFEE, revshare_group__SUB SANDWICHES, revshare_group__BLENDED BRINKS, revshare_group__NOT USED"
